latitude,longitude,country,area,centroid radius
6.428055,-9.429499,Liberia,111369,1.882813154
26.3351,17.228331,Libya,1759540,7.483842443
47.166,9.555373,Liechtenstein,160,0.071364965
55.169438,23.881275,Lithuania,65300,1.441722427
49.815273,6.129583,Luxembourg,2586,0.286905797
22.198745,113.543873,"China, Macao SAR",26,0.028768137
41.608635,21.745275,Macedonia [FYROM],25713,0.904693434
-18.766947,46.869107,Madagascar,587041,4.322741652
-13.254308,34.301525,Malawi,118484,1.942025452
4.210484,101.975766,Malaysia,329847,3.240270992
3.202778,73.22068,Maldives,298,0.097394223
17.570692,-3.996166,Mali,1240192,6.283035686
35.937496,14.375416,Malta,316,0.100292534
7.131474,171.184478,Marshall Islands,181,0.075903945
14.641528,-61.024174,Martinique,1102,0.187290548
21.00789,-10.940835,Mauritania,1025520,5.713432895
-20.348404,57.552152,Mauritius,2040,0.254823894
-12.8275,45.166244,Mayotte,,0
23.634501,-102.552784,Mexico,1958201,7.895028419
7.425554,150.550812,Micronesia (Federated States of),702,0.149483625
47.411631,28.369885,Republic of Moldova,33851,1.038032175
43.750298,7.412841,Monaco,2,0.007978846
46.862496,103.846656,Mongolia,1564116,7.056015773
42.708678,19.37439,Montenegro,"13,812",0.663060793
16.742498,-62.187366,Montserrat,102,0.056980355
31.791702,-7.09262,Morocco,446550,3.770162857
-18.665695,35.529562,Mozambique,801590,5.051277281
21.913965,95.956223,Myanmar,676578,4.640705401
-22.95764,18.49041,Namibia,824292,5.122307026
-0.522778,166.931503,Nauru,21,0.025854415
28.394857,84.124008,Nepal,147181,2.164466848
52.132633,5.291266,Netherlands (Kingdom of the),41528,1.149729227
12.226079,-69.060087,Netherlands Antilles,800,0.159576912
-20.904305,165.618042,New Caledonia,18575,0.768934726
-40.900557,174.885971,New Zealand,270534,2.934512681
12.865416,-85.207229,Nicaragua,130000,2.034214473
17.607789,8.081666,Niger,1267000,6.350579704
9.081999,8.675277,Nigeria,923768,5.422586901
-19.054445,-169.867233,Niue,260,0.090972837
-29.040835,167.954712,Norfolk Island,36,0.033851375
40.339852,127.510093,Democratic People's Republic of Korea,120538,1.958786284
17.33083,145.38469,Northern Mariana Islands,464,0.121530156
60.472024,8.468946,Norway,385155,3.501408919
21.512583,55.923255,Oman,309500,3.138740349
30.375321,69.345116,Pakistan,796095,5.033933937
7.51498,134.58252,Palau,459,0.120873586
31.952162,35.233154,Palestine,6020,0.437747132
8.537981,-80.782127,Panama,75517,1.550413096
-6.314993,143.95555,Papua New Guinea,462840,3.838314053
-23.442503,-58.443832,Paraguay,406752,3.598238219
-9.189967,-75.015152,Peru,1285216,6.396068782
12.879721,121.774017,Philippines,300000,3.090193616
-24.703615,-127.439308,Pitcairn Islands,5,0.012615663
51.919438,19.145136,Poland,312685,3.154849073
39.399872,-8.224454,Portugal,91982,1.71110432
18.220833,-66.590149,Puerto Rico,8875,0.531507313
25.354826,51.183884,Qatar,11000,0.591727027
-21.115141,55.536384,Réunion,2510,0.282658418
45.943161,24.96676,Romania,238391,2.754672614
61.52401,105.318756,Russian Federation,17098242,23.32925088
-1.940278,29.873888,Rwanda,26338,0.915622509
-24.143474,-10.030696,Saint Helena,308,0.09901487
17.357822,-62.782998,Saint Kitts and Nevis,261,0.091147617
13.909444,-60.978893,Saint Lucia,539,0.130984361
46.941936,-56.27111,Saint Pierre and Miquelon,242,0.087767302
12.984305,-61.287228,Saint Vincent and the Grenadines,388,0.11113246
-13.759029,-172.104629,Samoa,2831,0.300189155
43.94236,12.457777,San Marino,61,0.044064615
0.18636,6.613081,Sao Tome and Príncipe,964,0.175171553
23.885942,45.079162,Saudi Arabia,2149690,8.27204678
14.497401,-14.452362,Senegal,196722,2.502370025
44.016521,21.005859,Serbia,77612,1.571771831
-4.679574,55.491977,Seychelles,455,0.120345751
8.460555,-11.779889,Sierra Leone,71740,1.511143648
1.352083,103.819836,Singapore,683,0.147446822
48.669026,19.699024,Slovakia,49033,1.249307354
46.151241,14.995463,Slovenia,20256,0.802974785
-9.64571,160.156194,Solomon Islands,28896,0.959055914
5.152149,46.199616,Somalia,637657,4.505247242
-30.559482,22.937506,South Africa,1221037,6.234325533
-54.429579,-36.587909,South Georgia and the South Sandwich Islands,"3,903",0.35247177
35.907757,127.766922,Republic of Korea,99538,1.779998018
40.463667,-3.74922,Spain,505992,4.013256233
7.873054,80.771797,Sri Lanka,65610,1.445140534
12.862807,30.217636,Sudan,2505813,8.930985673
3.919305,-56.027783,Suriname,163820,2.28353948
77.553604,23.670272,Svalbard and Jan Mayen,62422,1.409593548
-26.522503,31.465866,Eswatini,17364,0.743446895
60.128161,18.643501,Sweden,449964,3.784547392
46.818188,8.227512,Switzerland,41284,1.146346603
34.802075,38.996815,Syrian Arab Republic,185180,2.427851411
23.69781,120.960515,"China, Taiwan Province of","36,197",1.073399411
38.861034,71.276093,Tajikistan,143100,2.134247987
-6.369028,34.888822,United Republic of Tanzania,945087,5.484802051
15.870032,100.992541,Thailand,513115,4.041405415
-8.874217,125.727539,Timor-Leste,14874,0.688080028
8.619543,0.824782,Togo,56785,1.344441404
-8.967363,-171.855881,Tokelau,12,0.0195441
-21.178986,-175.198242,Tonga,747,0.154200352
10.691803,-61.222503,Trinidad and Tobago,5130,0.404095251
33.886917,9.537499,Tunisia,163610,2.282075382
38.963745,35.243322,Türkiye,783562,4.99415189
38.969719,59.556278,Turkmenistan,488100,3.941662789
21.694025,-71.797928,Turks and Caicos Islands,948,0.173711765
-7.109535,177.64933,Tuvalu,26,0.028768137
,,U.S. Minor Outlying Islands,,0
18.335765,-64.896335,U.S. Virgin Islands,347,0.105096875
1.373333,32.290275,Uganda,241038,2.769923796
48.379433,31.16558,Ukraine,603700,4.383647777
23.424076,53.847818,United Arab Emirates,83600,1.631278838
55.378051,-3.435973,United Kingdom of Great Britain and Northern Ireland,242900,2.780601938
37.09024,-95.712891,United States of America,9629091,17.50724096
-32.522779,-55.765835,Uruguay,175016,2.360282251
41.377491,64.585262,Uzbekistan,447400,3.77374937
-15.376706,166.959158,Vanuatu,12189,0.622886764
41.902916,12.453389,Vatican City,0,0
6.42375,-66.58973,Venezuela (Bolivarian Republic of),912050,5.388084369
14.058324,108.277199,Viet Nam,331689,3.249305893
-13.768752,-177.156097,Wallis and Futuna,200,0.079788456
24.215527,-12.885834,Western Sahara,266000,2.909818374
15.552727,48.516388,Yemen,527968,4.099480869
-13.133897,27.849332,Zambia,752618,4.894545433
-19.015438,29.154857,Zimbabwe,390757,3.526780631
